year,efficiency
1,1
2,0.9964
3,0.99281296
4,0.989238833
5,0.985677574
6,0.982129134
7,0.978593469
8,0.975070533
9,0.971560279
10,0.968062662
11,0.964577636
12,0.961105157
13,0.957645178
14,0.954197656
15,0.950762544
16,0.947339799
17,0.943929376
18,0.94053123
19,0.937145318
20,0.933771594
21,0.930410017
22,0.927060541
23,0.923723123
24,0.920397719
25,0.917084288
